,level_0,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,raster_id,geometry,computed_height,difference_height,slope_steepness,abs_slope_steepness,dir_slope_steepness
12,12,00110,LENTRAN,lentran,inverness-shire,57.459,-4.373,146,2009,2020,4,"POLYGON ((-4.348 57.459, -4.348120381833195 57.45654957149176, -4.34848036798992 57.4541227419496, -4.349076491606695 57.45174288306864, -4.349903011687218 57.44943291419088, -4.350951968391291 57.44721508157935, -4.352213259692436 57.445110744174514, -4.353674738665932 57.44314016789591, -4.355322330470337 57.44132233047034, -4.357140167895909 57.439674738665936, -4.35911074417451 57.43821325969244, -4.36121508157935 57.43695196839129, -4.363432914190873 57.43590301168722, -4.365742883068639 57.4350764916067, -4.368122741949597 57.43448036798992, -4.370549571491761 57.434120381833196, -4.373 57.434000000000005, -4.375450428508239 57.434120381833196, -4.377877258050403 57.43448036798992, -4.380257116931362 57.4350764916067, -4.382567085809128 57.43590301168722, -4.38478491842065 57.43695196839129, -4.386889255825491 57.43821325969244, -4.3888598321040915 57.439674738665936, -4.390677669529664 57.44132233047034, -4.392325261334069 57.44314016789591, -4.393786740307564 57.445110744174514, -4.3950480316087095 57.44721508157935, -4.396096988312783 57.44943291419088, -4.396923508393305 57.45174288306864, -4.397519632010081 57.4541227419496, -4.397879618166805 57.45654957149176, -4.398000000000001 57.459, -4.397879618166805 57.46145042850824, -4.397519632010081 57.46387725805041, -4.396923508393305 57.46625711693137, -4.396096988312783 57.46856708580913, -4.3950480316087095 57.470784918420655, -4.393786740307564 57.47288925582549, -4.392325261334069 57.474859832104094, -4.390677669529664 57.476677669529664, -4.3888598321040915 57.47832526133407, -4.386889255825491 57.47978674030757, -4.38478491842065 57.481048031608715, -4.382567085809128 57.48209698831278, -4.380257116931362 57.482923508393306, -4.377877258050403 57.483519632010086, -4.375450428508239 57.48387961816681, -4.373 57.484, -4.370549571491761 57.48387961816681, -4.368122741949597 57.483519632010086, -4.365742883068639 57.482923508393306, -4.363432914190873 57.48209698831278, -4.36121508157935 57.481048031608715, -4.35911074417451 57.47978674030757, -4.357140167895909 57.47832526133407, -4.355322330470337 57.476677669529664, -4.353674738665932 57.474859832104094, -4.352213259692436 57.47288925582549, -4.350951968391291 57.470784918420655, -4.349903011687218 57.46856708580913, -4.349076491606695 57.46625711693137, -4.34848036798992 57.46387725805041, -4.348120381833195 57.46145042850824, -4.348 57.459))",167,21,-29.89,29.89,nw-se
79,79,00634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,1,"POLYGON ((-2.9250000000000003 52.59, -2.9251203818331954 52.58754957149176, -2.9254803679899193 52.5851227419496, -2.926076491606695 52.58274288306864, -2.926903011687218 52.58043291419088, -2.9279519683912913 52.57821508157935, -2.9292132596924367 52.576110744174514, -2.9306747386659318 52.57414016789591, -2.9323223304703365 52.57232233047034, -2.934140167895909 52.570674738665936, -2.9361107441745102 52.56921325969244, -2.9382150815793504 52.56795196839129, -2.9404329141908727 52.566903011687224, -2.9427428830686386 52.5660764916067, -2.945122741949597 52.56548036798992, -2.947549571491761 52.5651203818332, -2.95 52.565000000000005, -2.9524504285082394 52.5651203818332, -2.9548772580504035 52.56548036798992, -2.9572571169313617 52.5660764916067, -2.9595670858091276 52.566903011687224, -2.96178491842065 52.56795196839129, -2.96388925582549 52.56921325969244, -2.9658598321040914 52.570674738665936, -2.967677669529664 52.57232233047034, -2.9693252613340686 52.57414016789591, -2.9707867403075636 52.576110744174514, -2.972048031608709 52.57821508157935, -2.9730969883127822 52.58043291419088, -2.9739235083933053 52.58274288306864, -2.974519632010081 52.5851227419496, -2.974879618166805 52.58754957149176, -2.975 52.59, -2.974879618166805 52.59245042850824, -2.974519632010081 52.59487725805041, -2.9739235083933053 52.59725711693137, -2.9730969883127822 52.59956708580913, -2.972048031608709 52.601784918420655, -2.9707867403075636 52.60388925582549, -2.9693252613340686 52.605859832104095, -2.967677669529664 52.607677669529664, -2.9658598321040914 52.60932526133407, -2.96388925582549 52.61078674030757, -2.96178491842065 52.612048031608715, -2.9595670858091276 52.61309698831278, -2.9572571169313617 52.613923508393306, -2.9548772580504035 52.61451963201009, -2.9524504285082394 52.61487961816681, -2.95 52.615, -2.947549571491761 52.61487961816681, -2.945122741949597 52.61451963201009, -2.9427428830686386 52.613923508393306, -2.9404329141908727 52.61309698831278, -2.9382150815793504 52.612048031608715, -2.9361107441745102 52.61078674030757, -2.934140167895909 52.60932526133407, -2.9323223304703365 52.607677669529664, -2.9306747386659318 52.605859832104095, -2.9292132596924367 52.60388925582549, -2.9279519683912913 52.601784918420655, -2.926903011687218 52.59956708580913, -2.926076491606695 52.59725711693137, -2.9254803679899193 52.59487725805041, -2.9251203818331954 52.59245042850824, -2.9250000000000003 52.59))",351,6,-25.68,25.68,ns
108,108,00876,WIGHT: ST CATHERINES POINT,wight-st-catherines-point,isle-of-wight,50.576,-1.297,20,1982,2020,1,"POLYGON ((-1.272 50.576, -1.272120381833195 50.57354957149176, -1.2724803679899193 50.571122741949594, -1.2730764916066948 50.56874288306864, -1.2739030116872179 50.56643291419088, -1.274951968391291 50.56421508157935, -1.2762132596924363 50.56211074417451, -1.2776747386659315 50.56014016789591, -1.2793223304703363 50.55832233047034, -1.281140167895909 50.55667473866593, -1.2831107441745098 50.55521325969244, -1.28521508157935 50.55395196839129, -1.2874329141908727 50.55290301168722, -1.2897428830686384 50.5520764916067, -1.2921227419495966 50.55148036798992, -1.294549571491761 50.551120381833194, -1.297 50.551, -1.2994504285082389 50.551120381833194, -1.3018772580504032 50.55148036798992, -1.3042571169313615 50.5520764916067, -1.3065670858091272 50.55290301168722, -1.30878491842065 50.55395196839129, -1.3108892558254899 50.55521325969244, -1.312859832104091 50.55667473866593, -1.3146776695296636 50.55832233047034, -1.3163252613340684 50.56014016789591, -1.3177867403075636 50.56211074417451, -1.3190480316087088 50.56421508157935, -1.320096988312782 50.56643291419088, -1.320923508393305 50.56874288306864, -1.3215196320100806 50.571122741949594, -1.3218796181668049 50.57354957149176, -1.3219999999999998 50.576, -1.3218796181668049 50.57845042850824, -1.3215196320100806 50.58087725805041, -1.320923508393305 50.583257116931364, -1.3200969883127822 50.585567085809124, -1.3190480316087088 50.58778491842065, -1.3177867403075636 50.58988925582549, -1.3163252613340684 50.59185983210409, -1.3146776695296636 50.59367766952966, -1.3128598321040912 50.59532526133407, -1.31088925582549 50.596786740307564, -1.30878491842065 50.59804803160871, -1.3065670858091272 50.59909698831278, -1.3042571169313615 50.5999235083933, -1.3018772580504032 50.600519632010084, -1.2994504285082389 50.60087961816681, -1.297 50.601, -1.294549571491761 50.60087961816681, -1.2921227419495966 50.600519632010084, -1.2897428830686384 50.5999235083933, -1.2874329141908727 50.59909698831278, -1.28521508157935 50.59804803160871, -1.28311074417451 50.596786740307564, -1.281140167895909 50.59532526133407, -1.2793223304703363 50.59367766952966, -1.2776747386659315 50.59185983210409, -1.2762132596924363 50.58988925582549, -1.274951968391291 50.58778491842065, -1.2739030116872179 50.585567085809124, -1.2730764916066948 50.583257116931364, -1.2724803679899193 50.58087725805041, -1.272120381833195 50.57845042850824, -1.272 50.576))",21,1,28.57,28.57,ns
126,126,01067,BLENCATHRA,blencathra,cumbria,54.62,-3.08,250,2010,2020,1,"POLYGON ((-3.055 54.62, -3.0551203818331953 54.61754957149176, -3.055480367989919 54.61512274194959, -3.056076491606695 54.612742883068634, -3.056903011687218 54.61043291419087, -3.0579519683912912 54.608215081579345, -3.0592132596924366 54.60611074417451, -3.0606747386659316 54.604140167895906, -3.0623223304703364 54.60232233047034, -3.064140167895909 54.60067473866593, -3.06611074417451 54.599213259692434, -3.0682150815793503 54.597951968391286, -3.0704329141908726 54.59690301168722, -3.0727428830686385 54.596076491606695, -3.075122741949597 54.595480367989914, -3.077549571491761 54.59512038183319, -3.08 54.595, -3.0824504285082392 54.59512038183319, -3.0848772580504034 54.595480367989914, -3.0872571169313616 54.596076491606695, -3.0895670858091275 54.59690301168722, -3.09178491842065 54.597951968391286, -3.09388925582549 54.599213259692434, -3.0958598321040913 54.60067473866593, -3.0976776695296637 54.60232233047034, -3.0993252613340685 54.604140167895906, -3.1007867403075635 54.60611074417451, -3.102048031608709 54.608215081579345, -3.103096988312782 54.61043291419087, -3.103923508393305 54.612742883068634, -3.104519632010081 54.61512274194959, -3.104879618166805 54.61754957149176, -3.105 54.62, -3.104879618166805 54.62245042850824, -3.104519632010081 54.624877258050404, -3.103923508393305 54.62725711693136, -3.103096988312782 54.62956708580912, -3.102048031608709 54.63178491842065, -3.1007867403075635 54.63388925582549, -3.0993252613340685 54.63585983210409, -3.0976776695296637 54.63767766952966, -3.0958598321040913 54.639325261334065, -3.09388925582549 54.64078674030756, -3.09178491842065 54.64204803160871, -3.0895670858091275 54.64309698831278, -3.0872571169313616 54.6439235083933, -3.0848772580504034 54.64451963201008, -3.0824504285082392 54.644879618166804, -3.08 54.644999999999996, -3.077549571491761 54.644879618166804, -3.075122741949597 54.64451963201008, -3.0727428830686385 54.6439235083933, -3.0704329141908726 54.64309698831278, -3.0682150815793503 54.64204803160871, -3.06611074417451 54.64078674030756, -3.064140167895909 54.639325261334065, -3.0623223304703364 54.63767766952966, -3.0606747386659316 54.63585983210409, -3.0592132596924366 54.63388925582549, -3.0579519683912912 54.63178491842065, -3.056903011687218 54.62956708580912, -3.056076491606695 54.62725711693136, -3.055480367989919 54.624877258050404, -3.0551203818331953 54.62245042850824, -3.055 54.62))",261,11,58.65,58.65,ne-sw
145,145,01171,CAPEL CURIG NO 3,capel-curig-no-3,gwynedd,53.094,-3.941,216,1993,2020,1,"POLYGON ((-3.916 53.094, -3.916120381833195 53.09154957149176, -3.916480367989919 53.089122741949595, -3.9170764916066947 53.08674288306864, -3.9179030116872178 53.08443291419088, -3.918951968391291 53.08221508157935, -3.9202132596924364 53.08011074417451, -3.9216747386659314 53.07814016789591, -3.923322330470336 53.07632233047034, -3.9251401678959086 53.074674738665934, -3.92711074417451 53.07321325969244, -3.92921508157935 53.07195196839129, -3.9314329141908724 53.07090301168722, -3.9337428830686383 53.0700764916067, -3.9361227419495965 53.06948036798992, -3.9385495714917607 53.069120381833194, -3.941 53.069, -3.943450428508239 53.069120381833194, -3.945877258050403 53.06948036798992, -3.9482571169313614 53.0700764916067, -3.9505670858091273 53.07090301168722, -3.9527849184206496 53.07195196839129, -3.95488925582549 53.07321325969244, -3.956859832104091 53.074674738665934, -3.9586776695296635 53.07632233047034, -3.9603252613340683 53.07814016789591, -3.9617867403075633 53.08011074417451, -3.9630480316087087 53.08221508157935, -3.964096988312782 53.08443291419088, -3.964923508393305 53.08674288306864, -3.9655196320100807 53.089122741949595, -3.9658796181668046 53.09154957149176, -3.9659999999999997 53.094, -3.9658796181668046 53.09645042850824, -3.9655196320100807 53.09887725805041, -3.964923508393305 53.101257116931365, -3.964096988312782 53.103567085809125, -3.9630480316087087 53.10578491842065, -3.9617867403075633 53.10788925582549, -3.9603252613340683 53.10985983210409, -3.9586776695296635 53.11167766952966, -3.956859832104091 53.11332526133407, -3.95488925582549 53.114786740307565, -3.9527849184206496 53.11604803160871, -3.9505670858091273 53.11709698831278, -3.9482571169313614 53.117923508393304, -3.945877258050403 53.118519632010084, -3.943450428508239 53.11887961816681, -3.941 53.119, -3.9385495714917607 53.11887961816681, -3.9361227419495965 53.118519632010084, -3.9337428830686383 53.117923508393304, -3.9314329141908724 53.11709698831278, -3.92921508157935 53.11604803160871, -3.92711074417451 53.114786740307565, -3.9251401678959086 53.11332526133407, -3.923322330470336 53.11167766952966, -3.9216747386659314 53.10985983210409, -3.9202132596924364 53.10788925582549, -3.918951968391291 53.10578491842065, -3.9179030116872178 53.103567085809125, -3.9170764916066947 53.101257116931365, -3.916480367989919 53.09887725805041, -3.916120381833195 53.09645042850824, -3.916 53.094))",202,14,-23.98,23.98,nw-se
148,148,01198,ABERPORTH,aberporth,dyfed,52.14,-4.571,133,1957,2020,1,"POLYGON ((-4.545999999999999 52.14, -4.546120381833195 52.13754957149176, -4.546480367989919 52.135122741949594, -4.547076491606695 52.13274288306864, -4.547903011687217 52.13043291419088, -4.5489519683912905 52.12821508157935, -4.550213259692436 52.12611074417451, -4.551674738665931 52.12414016789591, -4.553322330470336 52.12232233047034, -4.5551401678959085 52.12067473866593, -4.557110744174509 52.11921325969244, -4.5592150815793495 52.11795196839129, -4.561432914190872 52.11690301168722, -4.563742883068638 52.1160764916067, -4.566122741949597 52.11548036798992, -4.5685495714917606 52.115120381833194, -4.571 52.115, -4.573450428508239 52.115120381833194, -4.575877258050403 52.11548036798992, -4.578257116931361 52.1160764916067, -4.580567085809127 52.11690301168722, -4.58278491842065 52.11795196839129, -4.58488925582549 52.11921325969244, -4.586859832104091 52.12067473866593, -4.588677669529663 52.12232233047034, -4.590325261334068 52.12414016789591, -4.591786740307564 52.12611074417451, -4.593048031608709 52.12821508157935, -4.594096988312782 52.13043291419088, -4.594923508393305 52.13274288306864, -4.59551963201008 52.135122741949594, -4.595879618166805 52.13754957149176, -4.596 52.14, -4.595879618166805 52.14245042850824, -4.59551963201008 52.14487725805041, -4.594923508393305 52.147257116931364, -4.594096988312782 52.149567085809124, -4.593048031608709 52.15178491842065, -4.591786740307564 52.15388925582549, -4.590325261334068 52.15585983210409, -4.588677669529663 52.15767766952966, -4.586859832104091 52.15932526133407, -4.58488925582549 52.160786740307564, -4.58278491842065 52.16204803160871, -4.580567085809127 52.16309698831278, -4.578257116931361 52.1639235083933, -4.575877258050403 52.164519632010084, -4.573450428508239 52.16487961816681, -4.571 52.165, -4.5685495714917606 52.16487961816681, -4.566122741949597 52.164519632010084, -4.563742883068638 52.1639235083933, -4.561432914190872 52.16309698831278, -4.5592150815793495 52.16204803160871, -4.557110744174509 52.160786740307564, -4.5551401678959085 52.15932526133407, -4.553322330470336 52.15767766952966, -4.551674738665931 52.15585983210409, -4.550213259692436 52.15388925582549, -4.5489519683912905 52.15178491842065, -4.547903011687217 52.149567085809124, -4.547076491606695 52.147257116931364, -4.546480367989919 52.14487725805041, -4.546120381833195 52.14245042850824, -4.545999999999999 52.14))",130,3,-25.51,25.51,nw-se
158,158,01255,MUMBLES HEAD,mumbles-head,west-glamorgan,51.566,-3.982,43,1982,2020,1,"POLYGON ((-3.9570000000000003 51.566, -3.9571203818331955 51.56354957149176, -3.9574803679899193 51.561122741949596, -3.958076491606695 51.55874288306864, -3.958903011687218 51.55643291419088, -3.9599519683912914 51.55421508157935, -3.9612132596924368 51.55211074417451, -3.962674738665932 51.55014016789591, -3.9643223304703366 51.54832233047034, -3.966140167895909 51.546674738665935, -3.9681107441745103 51.54521325969244, -3.9702150815793504 51.54395196839129, -3.9724329141908727 51.54290301168722, -3.9747428830686387 51.5420764916067, -3.977122741949597 51.54148036798992, -3.979549571491761 51.541120381833196, -3.982 51.541000000000004, -3.9844504285082394 51.541120381833196, -3.9868772580504035 51.54148036798992, -3.9892571169313618 51.5420764916067, -3.9915670858091277 51.54290301168722, -3.99378491842065 51.54395196839129, -3.99588925582549 51.54521325969244, -3.9978598321040915 51.546674738665935, -3.999677669529664 51.54832233047034, -4.001325261334069 51.55014016789591, -4.002786740307564 51.55211074417451, -4.0040480316087095 51.55421508157935, -4.005096988312783 51.55643291419088, -4.005923508393305 51.55874288306864, -4.006519632010081 51.561122741949596, -4.006879618166805 51.56354957149176, -4.007000000000001 51.566, -4.006879618166805 51.56845042850824, -4.006519632010081 51.57087725805041, -4.005923508393305 51.573257116931366, -4.005096988312783 51.575567085809126, -4.0040480316087095 51.577784918420654, -4.002786740307564 51.57988925582549, -4.001325261334069 51.581859832104094, -3.999677669529664 51.58367766952966, -3.9978598321040915 51.58532526133407, -3.99588925582549 51.586786740307566, -3.99378491842065 51.588048031608714, -3.9915670858091277 51.58909698831278, -3.9892571169313618 51.589923508393305, -3.9868772580504035 51.590519632010086, -3.9844504285082394 51.59087961816681, -3.982 51.591, -3.979549571491761 51.59087961816681, -3.977122741949597 51.590519632010086, -3.9747428830686387 51.589923508393305, -3.9724329141908727 51.58909698831278, -3.9702150815793504 51.588048031608714, -3.9681107441745103 51.586786740307566, -3.966140167895909 51.58532526133407, -3.9643223304703366 51.58367766952966, -3.962674738665932 51.581859832104094, -3.9612132596924368 51.57988925582549, -3.9599519683912914 51.577784918420654, -3.958903011687218 51.575567085809126, -3.958076491606695 51.573257116931366, -3.9574803679899193 51.57087725805041, -3.9571203818331955 51.56845042850824, -3.9570000000000003 51.566))",13,30,20.56,20.56,nw-se
180,180,01488,KILLOWEN,killowen,down,54.077,-6.184,4,2000,2020,2,"POLYGON ((-6.159 54.077, -6.159120381833195 54.07454957149176, -6.15948036798992 54.07212274194959, -6.160076491606695 54.069742883068635, -6.160903011687218 54.067432914190874, -6.161951968391291 54.065215081579346, -6.163213259692436 54.06311074417451, -6.164674738665932 54.06114016789591, -6.1663223304703365 54.05932233047034, -6.168140167895909 54.05767473866593, -6.17011074417451 54.056213259692434, -6.17221508157935 54.054951968391286, -6.174432914190873 54.05390301168722, -6.176742883068639 54.053076491606696, -6.179122741949597 54.052480367989915, -6.181549571491761 54.05212038183319, -6.184 54.052, -6.186450428508239 54.05212038183319, -6.188877258050403 54.052480367989915, -6.191257116931362 54.053076491606696, -6.193567085809128 54.05390301168722, -6.19578491842065 54.054951968391286, -6.1978892558254906 54.056213259692434, -6.199859832104091 54.05767473866593, -6.201677669529664 54.05932233047034, -6.203325261334069 54.06114016789591, -6.204786740307564 54.06311074417451, -6.206048031608709 54.065215081579346, -6.207096988312783 54.067432914190874, -6.207923508393305 54.069742883068635, -6.208519632010081 54.07212274194959, -6.208879618166805 54.07454957149176, -6.2090000000000005 54.077, -6.208879618166805 54.07945042850824, -6.208519632010081 54.081877258050405, -6.207923508393305 54.08425711693136, -6.207096988312783 54.08656708580912, -6.206048031608709 54.08878491842065, -6.204786740307564 54.09088925582549, -6.203325261334069 54.09285983210409, -6.201677669529664 54.09467766952966, -6.199859832104091 54.096325261334066, -6.1978892558254906 54.09778674030756, -6.19578491842065 54.09904803160871, -6.193567085809128 54.10009698831278, -6.191257116931362 54.1009235083933, -6.188877258050403 54.10151963201008, -6.186450428508239 54.101879618166805, -6.184 54.102, -6.181549571491761 54.101879618166805, -6.179122741949597 54.10151963201008, -6.176742883068639 54.1009235083933, -6.174432914190873 54.10009698831278, -6.17221508157935 54.09904803160871, -6.17011074417451 54.09778674030756, -6.168140167895909 54.096325261334066, -6.1663223304703365 54.09467766952966, -6.164674738665932 54.09285983210409, -6.163213259692436 54.09088925582549, -6.161951968391291 54.08878491842065, -6.160903011687218 54.08656708580912, -6.160076491606695 54.08425711693136, -6.15948036798992 54.081877258050405, -6.159120381833195 54.07945042850824, -6.159 54.077))",2,2,39.57,39.57,ne-sw
216,216,25726,"PATELEY BRIDGE, RAVENS NEST",pateley-bridge-ravens-nest,north-yorkshire,54.07,-1.771,259,2011,2020,1,"POLYGON ((-1.746 54.07, -1.746120381833195 54.06754957149176, -1.7464803679899192 54.065122741949594, -1.7470764916066948 54.06274288306864, -1.7479030116872178 54.060432914190876, -1.748951968391291 54.05821508157935, -1.7502132596924362 54.05611074417451, -1.7516747386659315 54.05414016789591, -1.7533223304703363 54.05232233047034, -1.7551401678959089 54.05067473866593, -1.7571107441745097 54.049213259692436, -1.75921508157935 54.04795196839129, -1.7614329141908727 54.04690301168722, -1.7637428830686384 54.0460764916067, -1.7661227419495966 54.04548036798992, -1.768549571491761 54.04512038183319, -1.771 54.045, -1.7734504285082389 54.04512038183319, -1.7758772580504032 54.04548036798992, -1.7782571169313615 54.0460764916067, -1.7805670858091271 54.04690301168722, -1.78278491842065 54.04795196839129, -1.7848892558254899 54.049213259692436, -1.786859832104091 54.05067473866593, -1.7886776695296636 54.05232233047034, -1.7903252613340683 54.05414016789591, -1.7917867403075636 54.05611074417451, -1.7930480316087087 54.05821508157935, -1.794096988312782 54.060432914190876, -1.794923508393305 54.06274288306864, -1.7955196320100806 54.065122741949594, -1.7958796181668049 54.06754957149176, -1.7959999999999998 54.07, -1.7958796181668049 54.07245042850824, -1.7955196320100806 54.07487725805041, -1.794923508393305 54.077257116931364, -1.794096988312782 54.079567085809124, -1.7930480316087087 54.08178491842065, -1.7917867403075636 54.08388925582549, -1.7903252613340683 54.08585983210409, -1.7886776695296636 54.08767766952966, -1.7868598321040912 54.08932526133407, -1.7848892558254899 54.090786740307564, -1.78278491842065 54.09204803160871, -1.7805670858091271 54.09309698831278, -1.7782571169313615 54.0939235083933, -1.7758772580504032 54.09451963201008, -1.7734504285082389 54.09487961816681, -1.771 54.095, -1.768549571491761 54.09487961816681, -1.7661227419495966 54.09451963201008, -1.7637428830686384 54.0939235083933, -1.7614329141908727 54.09309698831278, -1.75921508157935 54.09204803160871, -1.75711074417451 54.090786740307564, -1.7551401678959089 54.08932526133407, -1.7533223304703363 54.08767766952966, -1.7516747386659315 54.08585983210409, -1.7502132596924362 54.08388925582549, -1.748951968391291 54.08178491842065, -1.7479030116872178 54.079567085809124, -1.7470764916066948 54.077257116931364, -1.7464803679899192 54.07487725805041, -1.746120381833195 54.07245042850824, -1.746 54.07))",263,4,-28.42,28.42,ne-sw
